Month,Inflation
7/1/09,1.5
8/1/09,1.4
9/1/09,1.5
10/1/09,1.7
11/1/09,1.7
12/1/09,1.8
1/1/10,1.6
2/1/10,1.3
3/1/10,1.1
4/1/10,0.9
5/1/10,0.9
6/1/10,0.9
7/1/10,0.9
8/1/10,0.9
9/1/10,0.8
10/1/10,0.6
11/1/10,0.8
12/1/10,0.8
1/1/11,1.0
2/1/11,1.1
3/1/11,1.2
4/1/11,1.3
5/1/11,1.5
6/1/11,1.6
7/1/11,1.8
8/1/11,2.0
9/1/11,2.0
10/1/11,2.1
11/1/11,2.2
12/1/11,2.2
1/1/12,2.3
2/1/12,2.2
3/1/12,2.3
4/1/12,2.3
5/1/12,2.3
6/1/12,2.2
7/1/12,2.1
8/1/12,1.9
9/1/12,2.0
10/1/12,2.0
11/1/12,1.9
12/1/12,1.9
1/1/13,1.9
2/1/13,2.0
3/1/13,1.9
4/1/13,1.7
5/1/13,1.7
6/1/13,1.6
7/1/13,1.7
8/1/13,1.8
9/1/13,1.7
10/1/13,1.7
11/1/13,1.7
12/1/13,1.7
1/1/14,1.6
2/1/14,1.6
3/1/14,1.7
4/1/14,1.8
5/1/14,2.0
6/1/14,1.9
7/1/14,1.9
8/1/14,1.7
9/1/14,1.7
10/1/14,1.8
11/1/14,1.7
12/1/14,1.6
1/1/15,1.6
2/1/15,1.7
3/1/15,1.8
4/1/15,1.8
5/1/15,1.7
6/1/15,1.8
7/1/15,1.8
8/1/15,1.8
9/1/15,1.9
10/1/15,1.9
11/1/15,2.0
12/1/15,2.1
1/1/16,2.2
2/1/16,2.3
3/1/16,2.2
4/1/16,2.1
5/1/16,2.2
6/1/16,2.2
7/1/16,2.2
8/1/16,2.3
9/1/16,2.2
10/1/16,2.1
11/1/16,2.1
12/1/16,2.2
1/1/17,2.3
2/1/17,2.2
3/1/17,2.0
4/1/17,1.9
5/1/17,1.7
6/1/17,1.7
7/1/17,1.7
8/1/17,1.7
9/1/17,1.7
10/1/17,1.8
11/1/17,1.7
12/1/17,1.8
1/1/18,1.8